Neighborhood,Latitude,Longitude
Alexandra Park,43.71627,-79.40555
Allenby,43.71275,-79.54746
Bay Street Corridor,43.65777,-79.38619
Bedford Park,43.73138,-79.42116
Bloor West Village,43.65936,-79.48543
Bracondale Hill,43.676,-79.42803
Brockton,43.66055,-79.40531
Cabbagetown,43.66763,-79.36606
Carleton Village,43.672,-79.457
Casa Loma,43.67,-79.41
Chaplin Estates,43.7,-79.4
Christie Pits,43.664722,-79.420833
Church and Wellesley,43.665694,-79.380956
Corktown,43.655518,-79.359712
Davenport,43.673,-79.428
Davisville,43.701,-79.389
Deer Park,43.688056,-79.394028
Discovery District,43.658,-79.388
Distillery District/West Don Lands,43.655,-79.353
Dovercourt Park,43.665,-79.432
Dufferin Grove,43.657,-79.428
Earlscourt,43.678,-79.449
East Danforth,43.688056,-79.301944
Fashion District,43.645,-79.398
Financial District,43.647935,-79.381752
Forest Hill,43.7,-79.416667
Fort York/Liberty Village,43.637,-79.422
Garden District,43.6585,-79.3758
Grange Park,43.653,-79.393
Harbord Village,43.661,-79.406
Harbourfront / CityPlace,43.638,-79.385
High Park North,43.656,-79.475
Junction Triangle,43.659,-79.446
Kensington Market,43.654772,-79.400678
Lawrence Park,43.722,-79.388
Leslieville,43.661927,-79.332039
Little Italy,43.655,-79.413
Little Portugal,43.65,-79.435556
Lytton Park,43.716,-79.406
Moore Park,43.691,-79.377
Niagara,43.643,-79.408
Parkdale,43.640454,-79.436731
Playter Estates,43.678056,-79.355556
Port Lands,43.648056,-79.338333
Regal Heights,43.6762,-79.4244
Regent Park/Trefann Court,43.656548,-79.36201
Riverdale,43.66775,-79.34961
Roncesvalles,43.646231,-79.449048
Rosedale,43.646231,-79.449048
Seaton Village,43.668,-79.416
South Hill,43.681,-79.404
St. James Town,43.669167,-79.372778
Summerhill,43.683,-79.39
Swansea,43.643889,-79.477778
The Annex,43.67,-79.404
The Beaches,43.667266,-79.297128
The Danforth,43.678472,-79.347222
The Junction,43.665556,-79.464444
Toronto Islands,43.620833,-79.378611
Trinity–Bellwoods,43.646667,-79.408333
Upper Beaches,43.646667,-79.408333
Wallace Emerson,43.663,-79.441
Wychwood,43.6762,-79.4244
Yorkville,43.670278,-79.391111
